feature,importance
occupation_level,19.898591053715872
marital_status,15.728155582760877
capital_gain,13.760848771769997
town,11.020826335165946
capital_loss,6.672694747166201
education_num,4.8943674472639165
hours_per_week,4.242913170958795
view_fb,3.493223930632699
age,3.1797030325478106
interested_insurance,3.006829613674406
education,2.9684517091690155
job_title,2.682723876886191
salary_type,2.15461601071336
familiarity_fb,1.6645820647565126
demographic_characteristic,1.5046881741009588
workclass,1.3544428374386375
months_with_employer,0.480308789252965
new_mortgage,0.47518491337510604
years_with_employer,0.33584685558972965
annual_salary_gbp,0.1922606242711457
employment_months,0.15984719739963715
paye,0.1288932613902453
postcode,0.0
